"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 09:05:55 SGT 2023","Tue Apr 18 09:06:33 SGT 2023","38557","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widget dimension is correct",""
"passed","Tue Apr 18 09:09:30 SGT 2023","Tue Apr 18 09:10:08 SGT 2023","37429","chromium","src\tests\004-map-testing\map.test.ts","Map Testing @smoke","","","Verify whether user is able to pan to the bottom side of the map",""
"passed","Tue Apr 18 09:07:17 SGT 2023","Tue Apr 18 09:07:21 SGT 2023","4653","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify new layout is not created on clicking the cancel button",""
"passed","Tue Apr 18 09:06:33 SGT 2023","Tue Apr 18 09:06:36 SGT 2023","2971","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify layout with name Default is shown",""
"passed","Tue Apr 18 09:07:13 SGT 2023","Tue Apr 18 09:07:15 SGT 2023","1856","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify cancel button is enabled",""
"passed","Tue Apr 18 09:06:36 SGT 2023","Tue Apr 18 09:06:40 SGT 2023","4207","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify on selecting Default layout, kebeb menu shows only duplicate page and revert changes button",""
"passed","Tue Apr 18 09:06:22 SGT 2023","Tue Apr 18 09:07:33 SGT 2023","70831","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify widgets in the widget list is disabled when widget does not fit the grid",""
"failed","Tue Apr 18 09:06:49 SGT 2023","Tue Apr 18 09:06:58 SGT 2023","9718","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing default layout @smoke","","","Verify on updating the widgets in grid, save button and revert changes button are enabled",""
"passed","Tue Apr 18 09:05:04 SGT 2023","Tue Apr 18 09:05:42 SGT 2023","38275","chromium","src\tests\002-widget-testing\single-widget.test.ts","Single Widget Test @smoke","","","Verify highlight border is removed when edit button is clicked in editmode.",""
"passed","Tue Apr 18 09:07:03 SGT 2023","Tue Apr 18 09:07:05 SGT 2023","1786","chromium","src\tests\002-widget-testing\widget-menu.test.ts","Testing creation of new page @smoke","","","Verify input box for new page is empty",""
